curso,sexo,matricula,nivel,materia,trimestre,nota
1PRI A,M,651,Primaria,soc,1T,72
1PRI A,F,552,Primaria,soc,1T,84
1PRI A,F,606,Primaria,soc,1T,89
1PRI A,M,393,Primaria,soc,1T,96
1PRI A,M,261,Primaria,soc,1T,85
1PRI A,F,322,Primaria,soc,1T,94
1PRI A,F,575,Primaria,soc,1T,76
1PRI A,F,565,Primaria,soc,1T,83
1PRI A,F,168,Primaria,soc,1T,80
1PRI A,F,394,Primaria,soc,1T,92
1PRI A,F,578,Primaria,soc,1T,89
1PRI A,M,187,Primaria,soc,1T,85
1PRI A,F,149,Primaria,soc,1T,84
1PRI A,M,308,Primaria,soc,1T,77
1PRI A,M,509,Primaria,soc,1T,93
1PRI A,F,415,Primaria,soc,1T,94
1PRI A,F,397,Primaria,soc,1T,81
1PRI A,F,154,Primaria,soc,1T,92
1PRI A,F,19,Primaria,soc,1T,99
1PRI A,M,399,Primaria,soc,1T,81
1PRI A,M,727,Primaria,soc,1T,80
1PRI A,M,306,Primaria,soc,1T,78
1PRI A,M,174,Primaria,soc,1T,85
1PRI A,M,484,Primaria,soc,1T,81
1PRI A,F,175,Primaria,soc,1T,99
1PRI A,F,744,Primaria,soc,1T,84
1PRI A,M,177,Primaria,soc,1T,78
1PRI A,M,431,Primaria,soc,2T,96
1PRI A,M,310,Primaria,soc,2T,99
1PRI A,M,651,Primaria,soc,2T,71
1PRI A,F,552,Primaria,soc,2T,92
1PRI A,F,606,Primaria,soc,2T,76
1PRI A,M,393,Primaria,soc,2T,95
1PRI A,M,261,Primaria,soc,2T,87
1PRI A,F,322,Primaria,soc,2T,97
1PRI A,F,575,Primaria,soc,2T,83
1PRI A,F,565,Primaria,soc,2T,97
1PRI A,F,168,Primaria,soc,2T,66
1PRI A,F,394,Primaria,soc,2T,96
1PRI A,F,578,Primaria,soc,2T,94
1PRI A,M,187,Primaria,soc,2T,97
1PRI A,F,149,Primaria,soc,2T,70
1PRI A,M,308,Primaria,soc,2T,55
1PRI A,M,509,Primaria,soc,2T,100
1PRI A,F,415,Primaria,soc,2T,99
1PRI A,F,397,Primaria,soc,2T,68
1PRI A,F,154,Primaria,soc,2T,94
1PRI A,F,19,Primaria,soc,2T,100
1PRI A,M,399,Primaria,soc,2T,88
1PRI A,M,727,Primaria,soc,2T,59
1PRI A,M,306,Primaria,soc,2T,86
1PRI A,M,174,Primaria,soc,2T,81
1PRI A,M,484,Primaria,soc,2T,99
1PRI A,F,175,Primaria,soc,2T,100
1PRI A,F,744,Primaria,soc,2T,83
1PRI A,M,177,Primaria,soc,2T,66
1PRI A,M,431,Primaria,soc,3T,100
1PRI A,M,310,Primaria,soc,3T,98
1PRI A,M,651,Primaria,soc,3T,75
1PRI A,F,552,Primaria,soc,3T,89
1PRI A,F,606,Primaria,soc,3T,96
1PRI A,M,393,Primaria,soc,3T,97
1PRI A,M,261,Primaria,soc,3T,95
1PRI A,F,322,Primaria,soc,3T,95
1PRI A,F,575,Primaria,soc,3T,90
1PRI A,F,565,Primaria,soc,3T,98
1PRI A,F,168,Primaria,soc,3T,67
1PRI A,F,394,Primaria,soc,3T,92
1PRI A,F,578,Primaria,soc,3T,92
1PRI A,M,187,Primaria,soc,3T,96
1PRI A,F,149,Primaria,soc,3T,73
1PRI A,M,308,Primaria,soc,3T,64
1PRI A,M,509,Primaria,soc,3T,94
1PRI A,F,415,Primaria,soc,3T,100
1PRI A,F,397,Primaria,soc,3T,85
1PRI A,F,154,Primaria,soc,3T,95
1PRI A,F,19,Primaria,soc,3T,100
1PRI A,M,399,Primaria,soc,3T,94
1PRI A,M,727,Primaria,soc,3T,60
1PRI A,M,306,Primaria,soc,3T,82
1PRI A,M,174,Primaria,soc,3T,85
1PRI A,M,484,Primaria,soc,3T,96
1PRI A,F,175,Primaria,soc,3T,99
1PRI A,F,744,Primaria,soc,3T,83
1PRI A,M,177,Primaria,soc,3T,88
1PRI A,M,431,Primaria,efi,1T,85
1PRI A,M,310,Primaria,efi,1T,80
1PRI A,M,651,Primaria,efi,1T,82
1PRI A,F,552,Primaria,efi,1T,93
1PRI A,F,606,Primaria,efi,1T,80
1PRI A,M,393,Primaria,efi,1T,84
1PRI A,M,261,Primaria,efi,1T,94
1PRI A,F,322,Primaria,efi,1T,90
1PRI A,F,575,Primaria,efi,1T,89
1PRI A,F,565,Primaria,efi,1T,77
1PRI A,F,168,Primaria,efi,1T,76
1PRI A,F,394,Primaria,efi,1T,81
1PRI A,F,578,Primaria,efi,1T,94
1PRI A,M,187,Primaria,efi,1T,85
1PRI A,F,149,Primaria,efi,1T,88
1PRI A,M,308,Primaria,efi,1T,81
1PRI A,M,509,Primaria,efi,1T,92
1PRI A,F,415,Primaria,efi,1T,86
1PRI A,F,397,Primaria,efi,1T,89
1PRI A,F,154,Primaria,efi,1T,91
1PRI A,F,19,Primaria,efi,1T,88
1PRI A,M,399,Primaria,efi,1T,80
1PRI A,M,727,Primaria,efi,1T,72
1PRI A,M,306,Primaria,efi,1T,87
1PRI A,M,174,Primaria,efi,1T,79
1PRI A,M,484,Primaria,efi,1T,77
1PRI A,F,175,Primaria,efi,1T,90
1PRI A,F,744,Primaria,efi,1T,90
1PRI A,M,177,Primaria,efi,1T,82
1PRI A,M,431,Primaria,efi,2T,90
1PRI A,M,310,Primaria,efi,2T,92
1PRI A,M,651,Primaria,efi,2T,86
1PRI A,F,552,Primaria,efi,2T,94
1PRI A,F,606,Primaria,efi,2T,93
1PRI A,M,393,Primaria,efi,2T,90
1PRI A,M,261,Primaria,efi,2T,96
1PRI A,F,322,Primaria,efi,2T,90
1PRI A,F,575,Primaria,efi,2T,93
1PRI A,F,565,Primaria,efi,2T,98
1PRI A,F,168,Primaria,efi,2T,95
1PRI A,F,394,Primaria,efi,2T,91
1PRI A,F,578,Primaria,efi,2T,98
1PRI A,M,187,Primaria,efi,2T,89
1PRI A,F,149,Primaria,efi,2T,92
1PRI A,M,308,Primaria,efi,2T,93
1PRI A,M,509,Primaria,efi,2T,92
1PRI A,F,415,Primaria,efi,2T,91
1PRI A,F,397,Primaria,efi,2T,95
1PRI A,F,154,Primaria,efi,2T,95
1PRI A,F,19,Primaria,efi,2T,92
1PRI A,M,399,Primaria,efi,2T,89
1PRI A,M,727,Primaria,efi,2T,90
1PRI A,M,306,Primaria,efi,2T,92
1PRI A,M,174,Primaria,efi,2T,92
1PRI A,M,484,Primaria,efi,2T,86
1PRI A,F,175,Primaria,efi,2T,95
1PRI A,F,744,Primaria,efi,2T,95
1PRI A,M,177,Primaria,efi,2T,92
1PRI A,M,431,Primaria,efi,3T,89
1PRI A,M,310,Primaria,efi,3T,86
1PRI A,M,651,Primaria,efi,3T,86
1PRI A,F,552,Primaria,efi,3T,92
1PRI A,F,606,Primaria,efi,3T,87
1PRI A,M,393,Primaria,efi,3T,85
1PRI A,M,261,Primaria,efi,3T,92
1PRI A,F,322,Primaria,efi,3T,92
1PRI A,F,575,Primaria,efi,3T,88
1PRI A,F,565,Primaria,efi,3T,93
1PRI A,F,168,Primaria,efi,3T,91
1PRI A,F,394,Primaria,efi,3T,90
1PRI A,F,578,Primaria,efi,3T,97
1PRI A,M,187,Primaria,efi,3T,87
1PRI A,F,149,Primaria,efi,3T,88
1PRI A,M,308,Primaria,efi,3T,88
1PRI A,M,509,Primaria,efi,3T,90
1PRI A,F,415,Primaria,efi,3T,90
1PRI A,F,397,Primaria,efi,3T,93
1PRI A,F,154,Primaria,efi,3T,94
1PRI A,F,19,Primaria,efi,3T,91
1PRI A,M,399,Primaria,efi,3T,86
1PRI A,M,727,Primaria,efi,3T,89
1PRI A,M,306,Primaria,efi,3T,88
1PRI A,M,174,Primaria,efi,3T,89
1PRI A,M,484,Primaria,efi,3T,86
1PRI A,F,175,Primaria,efi,3T,93
1PRI A,F,744,Primaria,efi,3T,93
1PRI A,M,177,Primaria,efi,3T,89
1PRI A,M,431,Primaria,mus,1T,99
1PRI A,M,310,Primaria,mus,1T,96
1PRI A,M,651,Primaria,mus,1T,84
1PRI A,F,552,Primaria,mus,1T,96
1PRI A,F,606,Primaria,mus,1T,95
1PRI A,M,393,Primaria,mus,1T,98
1PRI A,M,261,Primaria,mus,1T,85
1PRI A,F,322,Primaria,mus,1T,99
1PRI A,F,575,Primaria,mus,1T,95
1PRI A,F,565,Primaria,mus,1T,96
1PRI A,F,168,Primaria,mus,1T,92
1PRI A,F,394,Primaria,mus,1T,95
1PRI A,F,578,Primaria,mus,1T,97
1PRI A,M,187,Primaria,mus,1T,96
1PRI A,F,149,Primaria,mus,1T,85
1PRI A,M,308,Primaria,mus,1T,86
1PRI A,M,509,Primaria,mus,1T,95
1PRI A,F,415,Primaria,mus,1T,99
1PRI A,F,397,Primaria,mus,1T,94
1PRI A,F,154,Primaria,mus,1T,84
1PRI A,F,19,Primaria,mus,1T,100
1PRI A,M,399,Primaria,mus,1T,93
1PRI A,M,727,Primaria,mus,1T,94
1PRI A,M,306,Primaria,mus,1T,83
1PRI A,M,174,Primaria,mus,1T,88
1PRI A,M,484,Primaria,mus,1T,91
1PRI A,F,175,Primaria,mus,1T,92
1PRI A,F,744,Primaria,mus,1T,83
1PRI A,M,177,Primaria,mus,1T,81
1PRI A,M,431,Primaria,mus,2T,97
1PRI A,M,310,Primaria,mus,2T,84
1PRI A,M,651,Primaria,mus,2T,92
1PRI A,F,552,Primaria,mus,2T,92
1PRI A,F,606,Primaria,mus,2T,95
1PRI A,M,393,Primaria,mus,2T,96
1PRI A,M,261,Primaria,mus,2T,98
1PRI A,F,322,Primaria,mus,2T,99
1PRI A,F,575,Primaria,mus,2T,90
1PRI A,F,565,Primaria,mus,2T,97
1PRI A,F,168,Primaria,mus,2T,94
1PRI A,F,394,Primaria,mus,2T,94
1PRI A,F,578,Primaria,mus,2T,99
1PRI A,M,187,Primaria,mus,2T,96
1PRI A,F,149,Primaria,mus,2T,84
1PRI A,M,308,Primaria,mus,2T,86
1PRI A,M,509,Primaria,mus,2T,96
1PRI A,F,415,Primaria,mus,2T,99
1PRI A,F,397,Primaria,mus,2T,86
1PRI A,F,154,Primaria,mus,2T,98
1PRI A,F,19,Primaria,mus,2T,100
1PRI A,M,399,Primaria,mus,2T,89
1PRI A,M,727,Primaria,mus,2T,87
1PRI A,M,306,Primaria,mus,2T,96
1PRI A,M,174,Primaria,mus,2T,91
1PRI A,M,484,Primaria,mus,2T,93
1PRI A,F,175,Primaria,mus,2T,100
1PRI A,F,744,Primaria,mus,2T,89
1PRI A,M,177,Primaria,mus,2T,95
1PRI A,M,431,Primaria,mus,3T,97
1PRI A,M,310,Primaria,mus,3T,98
1PRI A,M,651,Primaria,mus,3T,93
1PRI A,F,552,Primaria,mus,3T,88
1PRI A,F,606,Primaria,mus,3T,83
1PRI A,M,393,Primaria,mus,3T,95
1PRI A,M,261,Primaria,mus,3T,96
1PRI A,F,322,Primaria,mus,3T,98
1PRI A,F,575,Primaria,mus,3T,86
1PRI A,F,565,Primaria,mus,3T,95
1PRI A,F,168,Primaria,mus,3T,78
1PRI A,F,394,Primaria,mus,3T,95
1PRI A,F,578,Primaria,mus,3T,98
1PRI A,M,187,Primaria,mus,3T,95
1PRI A,F,149,Primaria,mus,3T,95
1PRI A,M,308,Primaria,mus,3T,93
1PRI A,M,509,Primaria,mus,3T,82
1PRI A,F,415,Primaria,mus,3T,98
1PRI A,F,397,Primaria,mus,3T,90
1PRI A,F,154,Primaria,mus,3T,99
1PRI A,F,19,Primaria,mus,3T,100
1PRI A,M,399,Primaria,mus,3T,89
1PRI A,M,727,Primaria,mus,3T,95
1PRI A,M,306,Primaria,mus,3T,89
1PRI A,M,174,Primaria,mus,3T,82
1PRI A,M,484,Primaria,mus,3T,82
1PRI A,F,175,Primaria,mus,3T,100
1PRI A,F,744,Primaria,mus,3T,97
1PRI A,M,177,Primaria,mus,3T,90
1PRI A,M,431,Primaria,apv,1T,95
1PRI A,M,310,Primaria,apv,1T,84
1PRI A,M,651,Primaria,apv,1T,83
1PRI A,F,552,Primaria,apv,1T,83
1PRI A,F,606,Primaria,apv,1T,90
1PRI A,M,393,Primaria,apv,1T,86
1PRI A,M,261,Primaria,apv,1T,84
1PRI A,F,322,Primaria,apv,1T,94
1PRI A,F,575,Primaria,apv,1T,82
1PRI A,F,565,Primaria,apv,1T,86
1PRI A,F,168,Primaria,apv,1T,81
1PRI A,F,394,Primaria,apv,1T,88
1PRI A,F,578,Primaria,apv,1T,85
1PRI A,M,187,Primaria,apv,1T,87
1PRI A,F,149,Primaria,apv,1T,73
1PRI A,M,308,Primaria,apv,1T,66
1PRI A,M,509,Primaria,apv,1T,89
1PRI A,F,415,Primaria,apv,1T,85
1PRI A,F,397,Primaria,apv,1T,76
1PRI A,F,154,Primaria,apv,1T,83
1PRI A,F,19,Primaria,apv,1T,98
1PRI A,M,399,Primaria,apv,1T,77
1PRI A,M,727,Primaria,apv,1T,80
1PRI A,M,306,Primaria,apv,1T,79
1PRI A,M,174,Primaria,apv,1T,79
1PRI A,M,484,Primaria,apv,1T,88
1PRI A,F,175,Primaria,apv,1T,97
1PRI A,F,744,Primaria,apv,1T,71
1PRI A,M,177,Primaria,apv,1T,84
1PRI A,M,431,Primaria,apv,2T,99
1PRI A,M,310,Primaria,apv,2T,85
1PRI A,M,651,Primaria,apv,2T,79
1PRI A,F,552,Primaria,apv,2T,81
1PRI A,F,606,Primaria,apv,2T,90
1PRI A,M,393,Primaria,apv,2T,93
1PRI A,M,261,Primaria,apv,2T,92
1PRI A,F,322,Primaria,apv,2T,91
1PRI A,F,575,Primaria,apv,2T,92
1PRI A,F,565,Primaria,apv,2T,93
1PRI A,F,168,Primaria,apv,2T,76
1PRI A,F,394,Primaria,apv,2T,100
1PRI A,F,578,Primaria,apv,2T,91
1PRI A,M,187,Primaria,apv,2T,96
1PRI A,F,149,Primaria,apv,2T,79
1PRI A,M,308,Primaria,apv,2T,73
1PRI A,M,509,Primaria,apv,2T,96
1PRI A,F,415,Primaria,apv,2T,98
1PRI A,F,397,Primaria,apv,2T,73
1PRI A,F,154,Primaria,apv,2T,82
1PRI A,F,19,Primaria,apv,2T,98
1PRI A,M,399,Primaria,apv,2T,79
1PRI A,M,727,Primaria,apv,2T,74
1PRI A,M,306,Primaria,apv,2T,87
1PRI A,M,174,Primaria,apv,2T,78
1PRI A,M,484,Primaria,apv,2T,99
1PRI A,F,175,Primaria,apv,2T,99
1PRI A,F,744,Primaria,apv,2T,79
1PRI A,M,177,Primaria,apv,2T,83
1PRI A,M,431,Primaria,apv,3T,97
1PRI A,M,310,Primaria,apv,3T,90
1PRI A,M,651,Primaria,apv,3T,85
1PRI A,F,552,Primaria,apv,3T,90
1PRI A,F,606,Primaria,apv,3T,94
1PRI A,M,393,Primaria,apv,3T,90
1PRI A,M,261,Primaria,apv,3T,93
1PRI A,F,322,Primaria,apv,3T,98
1PRI A,F,575,Primaria,apv,3T,95
1PRI A,F,565,Primaria,apv,3T,94
1PRI A,F,168,Primaria,apv,3T,84
1PRI A,F,394,Primaria,apv,3T,98
1PRI A,F,578,Primaria,apv,3T,91
1PRI A,M,187,Primaria,apv,3T,96
1PRI A,F,149,Primaria,apv,3T,91
1PRI A,M,308,Primaria,apv,3T,77
1PRI A,M,509,Primaria,apv,3T,93
1PRI A,F,415,Primaria,apv,3T,99
1PRI A,F,397,Primaria,apv,3T,83
1PRI A,F,154,Primaria,apv,3T,80
1PRI A,F,19,Primaria,apv,3T,100
1PRI A,M,399,Primaria,apv,3T,95
1PRI A,M,727,Primaria,apv,3T,83
1PRI A,M,306,Primaria,apv,3T,84
1PRI A,M,174,Primaria,apv,3T,81
1PRI A,M,484,Primaria,apv,3T,95
1PRI A,F,175,Primaria,apv,3T,99
1PRI A,F,744,Primaria,apv,3T,82
1PRI A,M,177,Primaria,apv,3T,87
1PRI A,M,431,Primaria,mat,1T,98
